cod;nome;período;valor
31;MG;2006;104
50;MS;2006;34
51;MT;2006;30
15;PA;2006;18
25;PB;2006;10
26;PE;2006;38
22;PI;2006;25
41;PR;2006;83
33;RJ;2006;57
24;RN;2006;35
11;RO;2006;9
14;RR;2006;1
43;RS;2006;240
42;SC;2006;43
28;SE;2006;6
35;SP;2006;233
17;TO;2006;12
12;AC;2007;5
27;AL;2007;7
13;AM;2007;6
16;AP;2007;6
29;BA;2007;39
23;CE;2007;30
53;DF;2007;15
32;ES;2007;11
52;GO;2007;43
21;MA;2007;32
31;MG;2007;109
50;MS;2007;24
51;MT;2007;31
15;PA;2007;38
25;PB;2007;13
26;PE;2007;35
22;PI;2007;29
41;PR;2007;94
33;RJ;2007;30
24;RN;2007;11
11;RO;2007;9
14;RR;2007;3
43;RS;2007;215
42;SC;2007;62
28;SE;2007;11
35;SP;2007;222
17;TO;2007;11
12;AC;2008;6
27;AL;2008;11
13;AM;2008;13
16;AP;2008;3
29;BA;2008;31
23;CE;2008;33
53;DF;2008;14
32;ES;2008;16
52;GO;2008;47
21;MA;2008;35
31;MG;2008;96
50;MS;2008;27
51;MT;2008;29
15;PA;2008;36
25;PB;2008;22
26;PE;2008;33
22;PI;2008;20
41;PR;2008;69
33;RJ;2008;52
24;RN;2008;15
11;RO;2008;8
14;RR;2008;4
43;RS;2008;203
42;SC;2008;63
28;SE;2008;7
35;SP;2008;215
17;TO;2008;15
12;AC;2009;5
27;AL;2009;7
13;AM;2009;10
29;BA;2009;34
23;CE;2009;42
53;DF;2009;19
32;ES;2009;14
52;GO;2009;32
21;MA;2009;18
31;MG;2009;104
50;MS;2009;25
51;MT;2009;26
15;PA;2009;30
25;PB;2009;14
26;PE;2009;23
22;PI;2009;27
41;PR;2009;87
33;RJ;2009;40
24;RN;2009;9
11;RO;2009;8
14;RR;2009;2
43;RS;2009;208
42;SC;2009;55
28;SE;2009;3
35;SP;2009;216
17;TO;2009;11
12;AC;2010;4
27;AL;2010;3
13;AM;2010;12
16;AP;2010;3
29;BA;2010;46
23;CE;2010;24
53;DF;2010;19
32;ES;2010;22
52;GO;2010;30
21;MA;2010;33
31;MG;2010;94
50;MS;2010;15
51;MT;2010;20
15;PA;2010;18
25;PB;2010;14
26;PE;2010;30
22;PI;2010;17
41;PR;2010;58
33;RJ;2010;41
24;RN;2010;11
11;RO;2010;10
14;RR;2010;1
43;RS;2010;165
42;SC;2010;47
28;SE;2010;12
35;SP;2010;206
17;TO;2010;14
12;AC;2011;4
27;AL;2011;2
13;AM;2011;13
16;AP;2011;1
29;BA;2011;25
23;CE;2011;17
53;DF;2011;8
32;ES;2011;18
52;GO;2011;28
21;MA;2011;26
31;MG;2011;105
50;MS;2011;26
51;MT;2011;25
15;PA;2011;30
25;PB;2011;12
26;PE;2011;24
22;PI;2011;18
41;PR;2011;61
33;RJ;2011;53
24;RN;2011;13
11;RO;2011;15
43;RS;2011;155
42;SC;2011;45
28;SE;2011;5
35;SP;2011;181
17;TO;2011;6
12;AC;2012;6
27;AL;2012;3
13;AM;2012;13
16;AP;2012;1
29;BA;2012;39
23;CE;2012;18
53;DF;2012;18
32;ES;2012;15
52;GO;2012;22
21;MA;2012;22
31;MG;2012;97
50;MS;2012;21
51;MT;2012;32
15;PA;2012;50
25;PB;2012;21
26;PE;2012;32
22;PI;2012;22
41;PR;2012;71
33;RJ;2012;43
24;RN;2012;10
11;RO;2012;10
14;RR;2012;2
43;RS;2012;176
42;SC;2012;43
28;SE;2012;5
35;SP;2012;183
17;TO;2012;14
12;AC;2013;2
27;AL;2013;8
13;AM;2013;12
29;BA;2013;42
23;CE;2013;18
53;DF;2013;12
32;ES;2013;22
52;GO;2013;41
21;MA;2013;28
31;MG;2013;93
50;MS;2013;25
51;MT;2013;31
15;PA;2013;35
25;PB;2013;8
26;PE;2013;18
22;PI;2013;22
41;PR;2013;78
33;RJ;2013;38
24;RN;2013;14
11;RO;2013;16
14;RR;2013;1
43;RS;2013;205
42;SC;2013;46
28;SE;2013;7
35;SP;2013;204
17;TO;2013;14
12;AC;2014;4
27;AL;2014;2
13;AM;2014;10
16;AP;2014;2
29;BA;2014;43
23;CE;2014;37
53;DF;2014;12
32;ES;2014;11
52;GO;2014;37
21;MA;2014;37
31;MG;2014;102
50;MS;2014;22
51;MT;2014;27
15;PA;2014;25
25;PB;2014;12
26;PE;2014;17
22;PI;2014;18
41;PR;2014;70
33;RJ;2014;52
24;RN;2014;14
11;RO;2014;10
14;RR;2014;1
43;RS;2014;167
42;SC;2014;45
28;SE;2014;6
35;SP;2014;183
17;TO;2014;7
12;AC;2015;3
27;AL;2015;3
13;AM;2015;9
16;AP;2015;2
29;BA;2015;38
23;CE;2015;23
53;DF;2015;12
32;ES;2015;9
52;GO;2015;35
21;MA;2015;42
31;MG;2015;86
50;MS;2015;24
51;MT;2015;20
15;PA;2015;28
25;PB;2015;6
26;PE;2015;12
22;PI;2015;20
41;PR;2015;77
33;RJ;2015;30
24;RN;2015;9
11;RO;2015;12
14;RR;2015;1
43;RS;2015;166
42;SC;2015;45
28;SE;2015;6
35;SP;2015;178
17;TO;2015;9
12;AC;2016;5
27;AL;2016;1
13;AM;2016;10
16;AP;2016;2
29;BA;2016;35
23;CE;2016;28
53;DF;2016;18
32;ES;2016;14
52;GO;2016;42
21;MA;2016;39
31;MG;2016;95
50;MS;2016;22
51;MT;2016;20
15;PA;2016;29
25;PB;2016;9
26;PE;2016;28
22;PI;2016;15
41;PR;2016;58
33;RJ;2016;42
24;RN;2016;9
11;RO;2016;10
43;RS;2016;163
42;SC;2016;47
28;SE;2016;8
35;SP;2016;189
17;TO;2016;12
